Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,"Connecticut   1 seed, ✅",BE,39,36-318–2,127.61,91.64,.97861,57.06,44.43,14.534,16.0247,36.612,26.672,32.3188,31.2135,59.14,43.02,36.056,31.440,40.3100,33.450,64.8325,+11.21
2,"Houston   1 seed, ❌",B12,37,32-515–3,119.615,86.51,.97672,50.3195,44.02,13.89,24.43,36.810,31.2282,30.8236,39.4316,49.2226,43.14,34.8132,30.111,36.8191,40.1282,63.5349,+9.93
3,"Purdue   1 seed, ✅",B10,38,34-417–3,126.42,94.214,.96703,56.113,47.436,16.5142,13.7341,37.86,23.913,41.613,22.24,53.457,47.451,40.62,31.649,35.2235,36.9171,67.2200,+10.72
4,"Auburn   4 seed, ❌",SEC,35,27-813–5,121.010,93.07,.95354,54.235,43.71,15.156,18.1102,32.959,30.2225,38.342,41.5335,55.122,42.91,35.2105,30.212,37.5176,33.450,70.056,+5.29
5,"Iowa St.   2 seed, ❌",B12,37,29-813–5,113.653,87.62,.95185,52.097,47.436,15.468,25.32,31.1103,29.4198,35.4102,34.8241,51.2138,47.451,35.870,31.544,31.7305,45.2354,67.4193,+6.36
6,"Arizona   2 seed, ❌",P12,36,27-915–5,120.512,93.28,.95036,54.530,48.467,16.0104,18.0110,35.618,23.36,36.483,25.926,54.437,47.762,36.633,32.9113,33.4281,37.9208,72.315,+4.910
7,"Tennessee   2 seed, ❌",SEC,36,27-914–4,115.931,90.43,.94587,51.1147,45.35,14.534,18.579,32.275,28.2138,33.7147,35.7260,50.8151,44.38,34.4152,31.233,41.279,41.1301,69.284,+5.67
8,"Duke   4 seed, ❌",ACC,36,27-915–5,121.29,95.419,.94008,54.628,48.678,14.431,16.9174,32.077,25.953,34.3132,28.166,53.555,49.0108,37.713,31.853,37.5176,34.781,66.5247,+3.515
9,"North Carolina   1 seed, ❌",ACC,37,29-817–3,119.218,94.215,.93699,51.5126,46.718,14.119,14.8310,33.058,23.710,36.288,28.269,50.2178,46.023,35.962,32.061,36.1211,35.8119,70.547,+7.04
10,"Creighton   3 seed, ❌",BE,35,25-1014–6,121.68,97.132,.930310,57.33,46.311,15.468,11.0362,26.1273,24.927,24.7352,16.01,59.23,45.515,36.825,32.378,48.58,27.96,66.7233,+4.313
11,"Marquette   2 seed, ❌",BE,37,27-1014–6,118.520,94.916,.928211,55.020,49.8133,14.327,21.119,25.7285,30.8266,25.5344,26.938,56.612,49.3124,35.2105,33.7162,41.184,42.8335,69.190,+6.55
12,"Gonzaga   5 seed, ❌",WCC,34,27-814–2,123.55,99.056,.927212,57.06,47.332,14.015,16.1241,33.251,27.7111,30.7240,25.219,58.37,45.113,36.243,34.1195,31.3312,36.6148,68.8104,+2.423
13,"Illinois   3 seed, ❌",B10,38,29-914–6,125.74,101.091,.925313,53.648,48.046,15.051,12.3360,35.618,26.364,37.168,26.733,54.437,46.836,34.9125,34.1195,38.6142,28.37,69.768,+5.68
14,"Alabama   4 seed, ❌",SEC,37,25-1213–5,126.03,102.5121,.915514,56.310,49.7127,15.995,15.2294,34.925,30.9271,35.3106,38.8307,56.710,50.9199,37.319,31.751,46.519,37.2183,72.414,+3.316
15,"Saint Mary's   5 seed, ❌",WCC,33,26-815–1,115.335,94.111,.912515,52.867,45.14,16.0104,16.7189,38.73,22.31,28.0304,33.4201,52.781,43.85,35.398,32.378,36.8191,29.28,62.5357,+1.435
